group,id,English,KR
Thunderstorm,200,thunderstorm with light rain,가벼운 비를 동반한 천둥구름
Thunderstorm,201,thunderstorm with rain,비를 동반한 천둥구름
Thunderstorm,202,thunderstorm with heavy rain,폭우를 동반한 천둥구름
Thunderstorm,210,light thunderstorm,약한 천둥구름
Thunderstorm,211,thunderstorm,천둥구름
Thunderstorm,212,heavy thunderstorm,강한 천둥구름
Thunderstorm,221,ragged thunderstorm,불규칙적 천둥구름
Thunderstorm,230,thunderstorm with light drizzle,약한 연무를 동반한 천둥구름
Thunderstorm,231,thunderstorm with drizzle,연무를 동반한 천둥구름
Thunderstorm,232,thunderstorm with heavy drizzle,강한 안개비를 동반한 천둥구름
Drizzle,300,light intensity drizzle,가벼운 안개비
Drizzle,301,drizzle,안개비
Drizzle,302,heavy intensity drizzle,강한 안개비
Drizzle,310,light intensity drizzle rain,가벼운 적은비
Drizzle,311,drizzle rain,적은비
Drizzle,312,heavy intensity drizzle rain,강한 적은비
Drizzle,313,shower rain and drizzle,소나기와 안개비
Drizzle,314,heavy shower rain and drizzle,강한 소나기와 안개비
Drizzle,321,shower drizzle,소나기
Rain,500,light rain,악한 비
Rain,501,moderate rain,중간 비
Rain,502,heavy intensity rain,강한 비
Rain,503,very heavy rain,매우 강한 비
Rain,504,extreme rain,극심한 비
Rain,511,freezing rain,우박
Rain,520,light intensity shower rain,약한 소나기 비
Rain,521,shower rain,소나기 비
Rain,522,heavy intensity shower rain,강한 소나기 비
Rain,531,ragged shower rain,불규칙적 소나기 비
Snow,600,light snow,가벼운 눈
Snow,601,snow,눈
Snow,602,heavy snow,강한 눈
Snow,611,sleet,진눈깨비
Snow,612,shower sleet,소나기 진눈깨비
Snow,615,light rain and snow,약한 비와 눈
Snow,616,rain and snow,비와 눈
Snow,620,light shower snow,약한 소나기 눈
Snow,621,shower snow,소나기 눈
Snow,622,heavy shower snow,강한 소나기 눈
Atmosphere,701,mist,박무
Atmosphere,711,smoke,연기
Atmosphere,721,haze,연무
Atmosphere,731,"sand, dust whirls",모래 먼지
Atmosphere,741,fog,안개
Atmosphere,751,sand,모래
Atmosphere,761,dust,먼지
Atmosphere,762,volcanic ash,화산재
Atmosphere,771,squalls,돌풍
Atmosphere,781,tornado,토네이도
Clear,800,clear sky,구름 한 점 없는 맑은 하늘
Clouds,801,few clouds,약간의 구름이 낀 하늘
Clouds,802,scattered clouds,드문드문 구름이 낀 하늘
Clouds,803,broken clouds,구름이 거의 없는 하늘
Clouds,804,overcast clouds,구름으로 뒤덮인 흐린 하늘
Extreme,900,tornado,토네이도
Extreme,901,tropical storm,태풍
Extreme,902,hurricane,허리케인
Extreme,903,cold,한랭
Extreme,904,hot,고온
Extreme,905,windy,바람부는
Extreme,906,hail,우박
Extreme,951,calm,바람이 거의 없는
Extreme,952,light breeze,약한 바람
Extreme,953,gentle breeze,부드러운 바람
Extreme,954,moderate breeze,중간 세기 바람
Extreme,955,fresh breeze,신선한 바람
Extreme,956,strong breeze,센 바람
Extreme,957,high win,돌풍에 가까운 센 바람
Extreme,958,gale,돌풍
Extreme,959,severe gale,심각한 돌풍
Extreme,960,storm,폭풍
Extreme,961,violent storm,강한 폭풍
Extreme,962,hurricane,허리케인
